306,Adalla
307,Adampane
308,Adawala
309,Adhaulpatha
310,Adhikarigama
311,Adippala
312,Agalawatta 
313,Agaliya
314,Agaloya
315,Agarapathana
316,Agunukolapalassa
317,Aguruwella
318,Ahalakanda
319,Ahalankulama
320,Ahangama
321,Ahelepola
322,Ahetuwewa
323,Ahungalla
324,Aivela
325,Akarawatta
326,Akarawita
327,Akiriya
328,Akkara 50
329,Akkaragama
330,"Akkarella,"
331,Akmeemana
332,Akurala
333,Akurana
334,Akuranboda
335,Akuressa
336,Akuregoda
337,Aladaluwa
338,Alagalla
339,Alahitimulla
340,Alanguda
341,Alapaladeniya
342,Alawaththenna
343,Alawathugoda
344,Alawathura
345,Alawela
346,Alawwa
347,Algama
348,Allewewa
349,Alpitiya
350,Alugolla
351,Alukatiyawa
352,Alupola
353,Alupotha
354,Alupothdeniya
355,Alutgama
356,Aluth Ambalama
357,Aluth Herathgama
358,Aluth Wala
359,Aluthapola
360,Aluthgama
361,Aluthgama 
362,Aluthgma 
363,Aluthnuwara
364,Aluthwala
365,Aluthwewa
366,"Aluthwewa,"
367,Aluwihare
368,Alwatta
369,Amaragedara
370,Ambagamuva
371,Ambagasdowa
372,Ambagaspitiya
373,Ambagaswewa
374,Ambakka
375,Ambalangoda
376,Ambalanthota
377,Ambanpitiya
378,Ambanpola
379,Ambathandegama
380,Ambathenna
381,Ambegoda
382,Ambepussa
383,Ambepussa Station 
384,Ambewela
385,Ambulugala
386,Ambuluwawa
387,Amithirigala
388,Ampagala
389,Ampe
390,Ampegama
391,Ampitithenna
392,Ampitiya
393,Amugoda
394,Amunudowa
395,Amunugama
396,Amunukole
397,Amunuthenna
398,"Amupitiya,"
399,Amuwala
400,Anakatawa
401,Anamaduwa
402,Andaragasyaya
403,Andarawewa
404,Andiyagala
405,Andiyambalama
406,Angulugaha
407,Angunawala
408,Angunuvila
409,Anguruwatota
410,Aniwatta
411,Ankokkawala
412,Ankubura
413,Ankumbura
414,Anukkane
415,Anuradhapura
416,Aparekka
417,Arabokka
418,Arachchikanda
